,Video_Category,view_count,Likes,Dislikes,Response_Percentage,LikesPercentage,DislikesPercentage,Comments,CommentsPercentage
0,Action/Adventure,4640224051,225480538,4582592,4.95801770499465,4.859259715086546,0.09875798990810411,19380763,0.4176686898518039
1,Anime/Animation,31468255,1409845,31845,4.581410694682625,4.480213472275473,0.10119722240715286,115372,0.3666297988242437
2,Autos & Vehicles,316674983,12384770,210199,3.9772541805110007,3.910877292128883,0.06637688838211764,1041495,0.3288845206948349
3,Comedy,2591868611,136972832,4395842,5.454314829078348,5.284713562203018,0.16960126687532928,9695124,0.37405923891564113
4,Documentary,1043465650,73596270,1115332,7.159948389292929,7.0530611141823405,0.1068872751105894,5268070,0.5048628098107494
5,Drama,7506967613,359597721,7695194,4.892693480706509,4.790186124917814,0.10250735578869481,27612694,0.36782753601044477
6,Education,91979325,3828417,53798,4.220747434273952,4.162258203134237,0.05848923113971537,306546,0.3332770706895272
7,Family,821112811,12264943,1493890,1.6756324850471733,1.493697679014778,0.18193480603239548,3299305,0.4018089787177855
8,Film & Animation,1068855916,45050181,804877,4.290106581587185,4.21480391562898,0.07530266595820573,3796771,0.35521822381904655
9,Foreign,760659394,31933865,1175922,4.352774350933737,4.198181900058149,0.15459245087558862,2671518,0.3512108075010509
10,Horror,365976181,21910443,462454,6.113211231088288,5.986849455648044,0.12636177544024374,1802074,0.492401990500032
11,Nonprofits & Activism,2553234661,48100873,1650687,1.9485698185107005,1.8839190041843161,0.06465081432638439,5671925,0.22214663957987058
12,People & Blogs,12264532380,705182826,14959435,5.8717465834600375,5.749773445500089,0.12197313795994887,86604263,0.7061358747050738
13,Sci-Fi/Fantasy,1399049568,49131636,1275124,3.602928813455736,3.511786653151663,0.09114216030407295,3249495,0.23226446541456636
14,Thriller,12046359,607900,11613,5.142740640553714,5.046338067792933,0.09640257276078192,49520,0.41107856739119264
